Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,strain,tissue
SRR3734806,2 Month,RNA-Seq,100,724847800,PRJNA327433,SAMN05335342,485938891,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX1890423,GSM2221823,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:32:00Z,1,GSM2221823,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734807,2 Month,RNA-Seq,100,1679601200,PRJNA327433,SAMN05335343,1129743108,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX1890424,GSM2221824,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221824,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734808,2 Month,RNA-Seq,100,1103501400,PRJNA327433,SAMN05335330,682393480,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1890425,GSM2221825,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221825,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734809,2 Month,RNA-Seq,100,1503110600,PRJNA327433,SAMN05335331,1018072047,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1890426,GSM2221826,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221826,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734810,2 Month,RNA-Seq,100,2313846400,PRJNA327433,SAMN05335332,1571976538,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1890427,GSM2221827,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:40:00Z,1,GSM2221827,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734811,2 Month,RNA-Seq,100,2691294500,PRJNA327433,SAMN05335318,1808346724,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX1890428,GSM2221828,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:36:00Z,1,GSM2221828,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734812,2 Month,RNA-Seq,100,2556207200,PRJNA327433,SAMN05335319,1717735087,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1890429,GSM2221829,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:40:00Z,1,GSM2221829,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734813,2 Month,RNA-Seq,100,1554172400,PRJNA327433,SAMN05335320,960914129,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1890430,GSM2221830,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221830,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734814,2 Month,RNA-Seq,100,1687203400,PRJNA327433,SAMN05335321,1138920132,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1890431,GSM2221831,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221831,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734815,2 Month,RNA-Seq,100,1805084100,PRJNA327433,SAMN05335322,1217189198,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX1890432,GSM2221832,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221832,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734816,4 Month,RNA-Seq,100,2114818300,PRJNA327433,SAMN05335323,1416478540,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX1890433,GSM2221833,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:35:00Z,1,GSM2221833,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734817,4 Month,RNA-Seq,100,1455558200,PRJNA327433,SAMN05335324,981258087,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1890434,GSM2221834,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221834,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734818,4 Month,RNA-Seq,100,1657107600,PRJNA327433,SAMN05335325,1023353527,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX1890435,GSM2221835,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221835,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734819,4 Month,RNA-Seq,100,859549700,PRJNA327433,SAMN05335326,531525789,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX1890436,GSM2221836,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221836,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734820,4 Month,RNA-Seq,100,1296347600,PRJNA327433,SAMN05335327,874673098,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX1890437,GSM2221837,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221837,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734821,4 Month,RNA-Seq,100,2155044800,PRJNA327433,SAMN05335328,1443224913,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX1890438,GSM2221838,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:35:00Z,1,GSM2221838,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734822,4 Month,RNA-Seq,100,1672894100,PRJNA327433,SAMN05335329,1121696123,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX1890439,GSM2221839,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221839,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734823,4 Month,RNA-Seq,100,1086344000,PRJNA327433,SAMN05335345,673817234,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX1890440,GSM2221840,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221840,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734824,4 Month,RNA-Seq,100,1290677400,PRJNA327433,SAMN05335346,797378752,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX1890441,GSM2221841,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221841,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734825,4 Month,RNA-Seq,100,1559705500,PRJNA327433,SAMN05335347,1052093983,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX1890442,GSM2221842,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221842,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
